year,month,rf,rM
1976,7,0.004390,-.006136
1976,8,0.004745,-.001398
1976,9,0.003924,0.024513
1976,10,0.004092,-.020372
1976,11,0.004440,0.005363
1976,12,0.003579,0.061591
1977,1,0.003594,-.036326
1977,2,0.003499,-.015744
1977,3,0.003769,-.009249
1977,4,0.004114,0.004962
1977,5,0.003855,-.010777
1977,6,0.003716,0.051369
1977,7,0.003873,-.012806
1977,8,0.004993,-.013338
1977,9,0.004330,0.001572
1977,10,0.004943,-.039278
1977,11,0.004959,0.045440
1977,12,0.004700,0.008223
1978,1,0.005374,-.055199
1978,2,0.004941,-.009275
1978,3,0.005017,0.034009
1978,4,0.005712,0.082853
1978,5,0.005317,0.023230
1978,6,0.005369,-.010748
1978,7,0.005591,0.056741
1978,8,0.005550,0.042370
1978,9,0.005964,-.006889
1978,10,0.007498,-.110995
1978,11,0.007041,0.033787
1978,12,0.007372,0.017708
1979,1,0.007882,0.049530
1979,2,0.007324,-.026765
1979,3,0.008928,0.065613
1979,4,0.008489,0.008520
1979,5,0.008161,-.013571
1979,6,0.007858,0.046852
1979,7,0.008410,0.014991
1979,8,0.007506,0.064732
1979,9,0.007732,0.001426
1979,10,0.009621,-.072662
1979,11,0.009878,0.063604
1979,12,0.010209,0.028215
1980,1,0.007968,0.065607
1980,2,0.010654,0.001015
1980,3,0.012009,-.120224
1980,4,0.012865,0.052287
1980,5,0.007883,0.060090
1980,6,0.006312,0.037714
1980,7,0.005281,0.069438
1980,8,0.005973,0.023554
1980,9,0.008698,0.029498
1980,10,0.008912,0.020095
1980,11,0.008895,0.104952
1980,12,0.014149,-.034411
1981,1,0.009957,-.040085
1981,2,0.010685,0.015519
1981,3,0.013157,0.046183
1981,4,0.010756,-.011266
1981,5,0.010646,0.013546
1981,6,0.015158,-.010243
1981,7,0.011915,-.003079
1981,8,0.012804,-.056281
1981,9,0.012794,-.063776
1981,10,0.011685,0.060162
1981,11,0.011030,0.045848
1981,12,0.008738,-.028096
1982,1,0.007306,-.026209
1982,2,0.009176,-.051126
1982,3,0.011077,-.010101
1982,4,0.011290,0.043269
1982,5,0.009592,-.028213
1982,6,0.010710,-.023913
1982,7,0.010210,-.020525
1982,8,0.008342,0.119016
1982,9,0.005118,0.016766
1982,10,0.005475,0.118632
1982,11,0.007201,0.051941
1982,12,0.006289,0.014510
1983,1,0.006864,0.041844
1983,2,0.006186,0.030215
1983,3,0.006326,0.034678
1983,4,0.006918,0.074185
1983,5,0.007584,0.013225
1983,6,0.006661,0.037837
1983,7,0.006917,-.031570
1983,8,0.008342,0.003465
1983,9,0.007607,0.016027
1983,10,0.007433,-.028038
1983,11,0.007199,0.029556
1983,12,0.007039,-.010464
1984,1,0.008083,-.013025
1984,2,0.007328,-.039073
1984,3,0.007280,0.013390
1984,4,0.008130,0.002538
1984,5,0.007898,-.052320
1984,6,0.007534,0.023384
1984,7,0.008755,-.020623
1984,8,0.007963,0.112691
1984,9,0.008293,0.000403
1984,10,0.009766,-.000073
1984,11,0.007334,-.010685
1984,12,0.006923,0.023653
1985,1,0.006474,0.085719
1985,2,0.006033,0.016898
1985,3,0.006160,-.001747
1985,4,0.007565,-.002187
1985,5,0.006062,0.055774
1985,6,0.005546,0.017091
1985,7,0.006196,-.000251
1985,8,0.005792,-.004794
1985,9,0.006049,-.039826
1985,10,0.006021,0.044441
1985,11,0.006156,0.069228
1985,12,0.006139,0.043061
1986,1,0.004865,0.009830
1986,2,0.005296,0.072501
1986,3,0.005963,0.053887
1986,4,0.005341,-.007903
1986,5,0.004934,0.050847
1986,6,0.005246,0.014244
1986,7,0.005011,-.059700
1986,8,0.004614,0.066183
1986,9,0.004783,-.079020
1986,10,0.004209,0.049305
1986,11,0.003924,0.015093
1986,12,0.004767,-.026387
1987,1,0.004151,0.128499
1987,2,0.004309,0.047922
1987,3,0.005012,0.023664
1987,4,0.004285,-.016996
1987,5,0.003760,0.005123
1987,6,0.005031,0.043655
1987,7,0.004058,0.044247
1987,8,0.004744,0.037147
1987,9,0.004820,-.020773
1987,10,0.006040,-.225361
1987,11,0.003366,-.072272
1987,12,0.002988,0.070324
1988,1,0.002762,0.044875
1988,2,0.004564,0.051691
1988,3,0.004402,-.016598
1988,4,0.004577,0.010993
1988,5,0.005051,0.000447
1988,6,0.004832,0.051457
1988,7,0.005060,-.007272
1988,8,0.005957,-.028006
1988,9,0.006145,0.037204
1988,10,0.006074,0.017645
1988,11,0.005742,-.016411
1988,12,0.006306,0.021071
1989,1,0.005766,0.066101
1989,2,0.006110,-.016442
1989,3,0.006213,0.021465
1989,4,0.006810,0.048207
1989,5,0.008006,0.039336
1989,6,0.007147,-.004856
1989,7,0.007040,0.077128
1989,8,0.006684,0.022126
1989,9,0.006387,-.001473
1989,10,0.006820,-.029285
1989,11,0.006340,0.017816
1989,12,0.005941,0.018294
1990,1,0.005852,-.070114
1990,2,0.005818,0.014900
1990,3,0.006380,0.024148
1990,4,0.006829,-.028283
1990,5,0.006404,0.088935
1990,6,0.005898,-.004193
1990,7,0.006704,-.009392
1990,8,0.006154,-.091903
1990,9,0.005984,-.053844
1990,10,0.006559,-.012499
1990,11,0.005651,0.065742
1990,12,0.005989,0.029511
1991,1,0.004637,0.049083
1991,2,0.004767,0.075848
1991,3,0.004391,0.028922
1991,4,0.005335,0.003311
1991,5,0.004461,0.040737
1991,6,0.004171,-.044024
1991,7,0.004840,0.046779
1991,8,0.004610,0.026807
1991,9,0.004558,-.010979
1991,10,0.004246,0.017847
1991,11,0.003915,-.037291
1991,12,0.003792,0.106782
1992,1,0.003059,-.001164
1992,2,0.002828,0.013355
1992,3,0.003376,-.023699
1992,4,0.003303,0.013414
1992,5,0.002758,0.006407
1992,6,0.003201,-.019258
1992,7,0.002892,0.039900
1992,8,0.002605,-.020819
1992,9,0.002573,0.012461
1992,10,0.002286,0.010983
1992,11,0.002346,0.040181
1992,12,0.002270,0.017740
1993,1,0.002335,0.012616
1993,2,0.002209,0.005425
1993,3,0.002538,0.025089
1993,4,0.002372,-.025391
1993,5,0.002168,0.029572
1993,6,0.002756,0.005434
1993,7,0.002402,-.000806
1993,8,0.002530,0.039496
1993,9,0.002356,0.000629
1993,10,0.002210,0.018051
1993,11,0.002477,-.017600
1993,12,0.002263,0.019554
1994,1,0.002503,0.031459
1994,2,0.002120,-.024207
1994,3,0.002469,-.045795
1994,4,0.002711,0.009495
1994,5,0.003150,0.009353
1994,6,0.003118,-.027880
1994,7,0.002751,0.030657
1994,8,0.003687,0.042629
1994,9,0.003659,-.018338
1994,10,0.003840,0.014521
1994,11,0.003691,-.037206
1994,12,0.004430,0.012580
1995,1,0.004156,0.020353
1995,2,0.003983,0.039647
1995,3,0.004134,0.027064
1995,4,0.004450,0.025048
1995,5,0.005355,0.033909
1995,6,0.004714,0.031142
1995,7,0.004522,0.040801
1995,8,0.004637,0.009300
1995,9,0.004309,0.036354
1995,10,0.004714,-.011339
1995,11,0.004108,0.042771
1995,12,0.004882,0.015192
1996,1,0.004278,0.028121
1996,2,0.003908,0.016353
1996,3,0.003943,0.010914
1996,4,0.004579,0.025560
1996,5,0.003982,0.026810
1996,6,0.004000,-.008289
1996,7,0.004497,-.053851
1996,8,0.004122,0.032451
1996,9,0.004375,0.052985
1996,10,0.004246,0.013673
1996,11,0.003941,0.065594
1996,12,0.004404,-.011381
1997,1,0.004014,0.053473
1997,2,0.003788,-.001067
1997,3,0.004310,-.044889
1997,4,0.004313,0.042396
1997,5,0.004263,0.071640
1997,6,0.003744,0.044081
1997,7,0.004294,0.076513
1997,8,0.004058,-.036323
1997,9,0.004576,0.058453
1997,10,0.003911,-.034433
1997,11,0.003773,0.030354
1997,12,0.004629,0.017822
1998,1,0.004204,0.004511
1998,2,0.003847,0.073321
1998,3,0.004485,0.051273
1998,4,0.004308,0.010924
1998,5,0.003805,-.025746
1998,6,0.004021,0.031839
1998,7,0.003873,-.023377
1998,8,0.004012,-.157860
1998,9,0.003875,0.063814
1998,10,0.003353,0.074406
1998,11,0.003233,0.062001
1998,12,0.003779,0.063058
1999,1,0.003494,0.038447
1999,2,0.003372,-.038083
1999,3,0.004076,0.037925
1999,4,0.003784,0.049092
1999,5,0.003463,-.020708
1999,6,0.004098,0.050823
1999,7,0.003658,-.030833
1999,8,0.003876,-.009918
1999,9,0.003705,-.022669
1999,10,0.003581,0.062107
1999,11,0.003811,0.036822
1999,12,0.003764,0.083745
2000,1,0.004343,-.039622
2000,2,0.004295,0.031760
2000,3,0.004377,0.053499
2000,4,0.004595,-.059519
2000,5,0.004782,-.038863
2000,6,0.003744,0.051576
2000,7,0.004772,-.017679
2000,8,0.005002,0.074984
2000,9,0.005093,-.051154
2000,10,0.005217,-.024480
2000,11,0.004966,-.102365
2000,12,0.004909,0.020450
2001,1,0.005243,0.039573
2001,2,0.003653,-.099084
2001,3,0.004320,-.070408
2001,4,0.003864,0.083834
2001,5,0.003183,0.010442
2001,6,0.002778,-.017561
2001,7,0.002999,-.018284
2001,8,0.002996,-.058980
2001,9,0.002730,-.091497
2001,10,0.002154,0.027847
2001,11,0.001749,0.078789
2001,12,0.001484,0.017854
2002,1,0.001390,-.015966
2002,2,0.001285,-.021700
2002,3,0.001341,0.044698
2002,4,0.001546,-.049600
2002,5,0.001442,-.010510
2002,6,0.001312,-.070259
2002,7,0.001507,-.081125
2002,8,0.001402,0.007949
2002,9,0.001414,-.099923
2002,10,0.001334,0.074940
2002,11,0.001166,0.061282
2002,12,0.001079,-.053334
2003,1,0.000934,-.023367
2003,2,0.000871,-.015417
2003,3,0.001020,0.010321
2003,4,0.000939,0.082768
2003,5,0.000903,0.063471
2003,6,0.000984,0.016346
2003,7,0.000674,0.023112
2003,8,0.000689,0.024965
2003,9,0.000865,-.009120
2003,10,0.000700,0.060361
2003,11,0.000725,0.016594
2003,12,0.000831,0.045476
2004,1,0.000696,0.023042
2004,2,0.000623,0.015443
2004,3,0.000844,-.010662
2004,4,0.000795,-.024222
2004,5,0.000603,0.014068
2004,6,0.000817,0.021611
2004,7,0.000919,-.037698
2004,8,0.001116,0.002703
2004,9,0.001185,0.020556
2004,10,0.001129,0.017806
2004,11,0.001541,0.048214
2004,12,0.001672,0.035170
2005,1,0.001661,-.026546
2005,2,0.001641,0.022646
2005,3,0.002123,-.016944
2005,4,0.002072,-.025206
2005,5,0.002395,0.037954
2005,6,0.002263,0.011529
2005,7,0.002383,0.043357
